Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Eucalyptus grandis,Austrailia  New South Wales  near Coffs Harbour,12,236987.952,0.083,1370.33,18.575,1483.19,10-100,30 20'N,153 00'E,Cannell (1982).   Page 11
Eucalyptus grandis,Austrailia  New South Wales  near Coffs Harbour,15,135110.747,0.1219,1370.33,18.575,1483.19,10-100,30 20'N,153 00'E,Cannell (1982).   Page 11
Eucalyptus marginata (74%) [a] and Eucalyptus calophylla,Australia  West Australia  Dwellingup,60,465116.279,0.0559,1058,16.25,1526.69,-9999,32 45'S,116 00'E,Cannell (1982).   Page 12
Eucalyptus obliqua,Australia Victoria  Mt Disappointment,43.7,254157.549,0.0914,941.91,13.15,1143.49,545,37 25'S,145 10'E,Cannell (1982).   Page 14
Eucalyptus obliqua,Australia Victoria  Mt Disappointment,50.7,344508.671,0.0865,941.91,13.15,1143.49,545,37 25'S,145 10'E,Cannell (1982).   Page 14
Eucalyptus obliqua,Australia Victoria  Mt Disappointment,66.2,652640.845,0.0655,941.91,13.15,1143.49,545,37 25'S,145 10'E,Cannell (1982).   Page 14
Eucalyptus regnans (96%)[a] with Acacia,Australia  60 Km NE of Melbourne,39,1116545.45,0.055,1200.76,13.25833333,1124.16,560,37 38'S,145 35'E,Cannell (1982).   Page 15
Eucalyptus obliqua and Eucalyptus dives [a],Australia  60 Km NE of Melbourne,39,448554.217,0.083,1200.76,13.25833333,1124.16,180,37 38'S,145 35'E,Cannell (1982).   Page 15
Quercus petraea with coppiced understorey of Corylus avellana  Carpinus betulus  et al.,Belgium  the Famenne Ferage,117,1484662.58,0.0163,878.63,8.733333333,635.83,250,50 11'N,5 01'E,Cannell (1982).   Page 25
Quercus robur with coppiced understorey of Corylus avellana  Carpinus betulus  et al.,Belgium  the Famenne Wavreille,120,2722522.52,0.0111,916.67,8.483333333,621.3,100,50 07'N,5 15'E,Cannell (1982).   Page 25
Quercus petraea  Quercus robur  Betula pubescens with coppiced understorey of Corylus avellana  Carpinus betulus et al.,Belgium  the Famenne Vonêche,135,473696.682,0.0422,1085.94,8.441666667,623.1,100,50 03'N,4 59'E,Cannell (1982).   Page 26
Q. robur (86%) [a]  Quercus patraea  Fagus sylvatica et al.,Belgium  Mirwart,66,178496.868,0.0958,1068.93,12,608.61,350-400,50 02'N,5 14'E,Cannell (1982).   Page 27
Acer spicatum,Canada  New Brunswick  Green River.,8,387.38739,3.33,1020.96,2.95,638.78,300,47 30'N,68 20'W,Cannell (1982).   Page 33
Acer spicatum,Canada  New Brunswick  Green River.,11,701.75439,2.28,1020.96,2.95,638.78,300,47 30'N,68 20'W,Cannell (1982).   Page 33
Acer spicatum,Canada  New Brunswick  Green River.,13,1267.75956,1.83,1020.96,2.95,638.78,300,47 30'N,68 20'W,Cannell (1982).   Page 33
Acer spicatum,Canada  New Brunswick  Green River.,16,1380.43478,1.84,1020.96,2.95,638.78,300,47 30'N,68 20'W,Cannell (1982).   Page 33
Acer spicatum,Canada  New Brunswick  Green River.,21,5000,0.67,1020.96,2.95,638.78,300,47 30'N,68 20'W,Cannell (1982).   Page 33
Acer spicatum,Canada  New Brunswick  Green River.,23,4671.64179,0.67,1020.96,2.95,638.78,300,47 30'N,68 20'W,Cannell (1982).   Page 33
Acer spicatum,Canada  New Brunswick  Green River.,26,5955.88235,0.68,1020.96,2.95,638.78,300,47 30'N,68 20'W,Cannell (1982).   Page 33
Acer rubrum  Betula papyrifera  Prunus pensylvanica  and Populus tremuloides,Canada  New Brunswick  Gloucester and Northumberland Counties.,10,862.4454148,0.916,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 34
Acer rubrum  Betula papyrifera  Prunus pensylvanica  and Populus tremuloides,Canada  New Brunswick  Gloucester and Northumberland Counties.,20,1686.320755,1.696,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 35
Acer rubrum  Betula papyrifera  Prunus pensylvanica  and Populus tremuloides,Canada  New Brunswick  Gloucester and Northumberland Counties.,25,3951.048951,0.572,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 35
Acer rubrum  Betula papyrifera  Prunus pensylvanica  and Populus tremuloides,Canada  New Brunswick  Gloucester and Northumberland Counties.,29,5234.375,0.768,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 35
Acer rubrum  Betula papyrifera  Prunus pensylvanica  and Populus tremuloides,Canada  New Brunswick  Gloucester and Northumberland Counties.,37,6117.886179,0.492,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 35
Populus tremuloides et al.,Canada  Ontarion  near Chalk River,5,772.4358974,3.12,768.24,4.241666667,717.01,121-300,46 00'N,77 26'W,Cannell (1982).   Page 38
Populus tremuloides et al.,Canada  Ontarion  near Chalk River,15,5723.404255,0.94,768.24,4.241666667,717.01,121-301,46 00'N,77 26'W,Cannell (1982).   Page 38
Populus tremuloides et al.,Canada  Ontarion  near Chalk River,52,188866.3968,0.0494,768.24,4.241666667,717.01,121-302,46 00'N,77 26'W,Cannell (1982).   Page 38
Abies balsamea (89-98%) [a]  Picea mariana and Picea glauca (0-10%) [a]  Betula papyrifera and Betula alleghaniensis (1-5%) [a],Canada  New Brunswick  Green River Wathershed,51,58043.4783,0.184,1041.06,2.233333333,618.73,500,47 51'N,68 20'W,Cannell (1982).   Page 40
Abies balsamea (89-98%) [a]  Picea mariana and Picea glauca (0-10%) [a]  Betula papyrifera and Betula alleghaniensis (1-5%) [a],Canada  New Brunswick  Green River Wathershed,42,38834.2165,0.2624,1041.06,2.233333333,618.73,500,47 51'N,68 20'W,Cannell (1982).   Page 40
Abies balsamea (89-98%) [a]  Picea mariana and Picea glauca (0-10%) [a]  Betula papyrifera and Betula alleghaniensis (1-5%) [a],Canada  New Brunswick  Green River Wathershed,42,27039.3474,0.4168,1041.06,2.233333333,618.73,500,47 51'N,68 20'W,Cannell (1982).   Page 40
Abies balsamea (89-98%) [a]  Picea mariana and Picea glauca (0-10%) [a]  Betula papyrifera and Betula alleghaniensis (1-5%) [a],Canada  New Brunswick  Green River Wathershed,43,26704.1901,0.4797,1041.06,2.233333333,618.73,500,47 51'N,68 20'W,Cannell (1982).   Page 40
Abies balsamea (89-98%) [a]  Picea mariana and Picea glauca (0-10%) [a]  Betula papyrifera and Betula alleghaniensis (1-5%) [a],Canada  New Brunswick  Green River Wathershed,42,18480.2511,0.7646,1041.06,2.233333333,618.73,500,47 51'N,68 20'W,Cannell (1982).   Page 40
Abies balsamea (89-98%) [a]  Picea mariana and Picea glauca (0-10%) [a]  Betula papyrifera and Betula alleghaniensis (1-5%) [a],Canada  New Brunswick  Green River Wathershed,42,12320.871,1.2491,1041.06,2.233333333,618.73,500,47 51'N,68 20'W,Cannell (1982).   Page 40
Picea rubens  with Picea mariana  Picea glauca  Abies balsamea  Tsuga canadensis et al.,Canada  Ontario,84,36635.4576,0.3311,1001.965,3.954166667,694.125,465-503,45 14-32'N,78 16-49 W,Cannell (1982).   Page 43
Picea rubens  with Picea mariana  Picea glauca  Abies balsamea  Tsuga canadensis et al.,Canada  Ontario,130,18657.5403,0.9058,1001.965,3.954166667,694.125,465-503,45 14-32'N,78 16-49 W,Cannell (1982).   Page 43
Picea rubens  with Picea mariana  Picea glauca  Abies balsamea  Tsuga canadensis et al.,Canada  Ontario,212,150734.095,0.3065,1001.965,3.954166667,694.125,465-503,45 14-32'N,78 16-49 W,Cannell (1982).   Page 43
Picea rubens  with Picea mariana  Picea glauca  Abies balsamea  Tsuga canadensis et al.,Canada  Ontario,246,44650.6832,0.3879,1001.965,3.954166667,694.125,465-503,45 14-32'N,78 16-49 W,Cannell (1982).   Page 43
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,20,5935.251799,0.2224,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 44
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,30,33044.63691,0.3002,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 44
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,30,55760.77397,0.1137,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 44
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,65,186267.6056,0.0568,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 44
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,65,156069.3642,0.0346,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 44
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,20,8247.42268,0.194,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 45
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,30,23034.87767,0.3842,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 45
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,30,35017.22158,0.1742,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 45
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,65,146435.4528,0.0519,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 45
Pinus banksiana,Canada  Ontario  Mississagi River  Wellstown,65,121787.7095,0.0358,889.49,4.116666667,701.9,200,46 25'N,83 23'W,Cannell (1982).   Page 45
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,29,13947.36842,0.304,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 46
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,29,11951.21951,0.656,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 46
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,31,18272.72727,0.22,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 46
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,37,25952.38095,0.252,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 46
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,37,17190.08264,0.484,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 47
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,38,13769.23077,0.26,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 47
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,40,14933.33333,0.6,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 47
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,44,24331.39535,0.344,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 47
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,49,16206.89655,0.348,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 47
Pinus banksiana,Canada  New Brunswick Gloucester and Northumberland Counties,57,31188.52459,0.244,998.49,4.208333333,677.91,15-170,47 30'N,65 15'W,Cannell (1982).   Page 47
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,30414.1638,0.3164,446.51,17.95,1709.55,420,47 05'N,73 30'W,Cannell (1982).   Page 48
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,31489.0926,0.3163,446.51,17.95,1709.55,420,47 05'N,73 30'W,Cannell (1982).   Page 48
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,46347.4827,0.2026,446.51,17.95,1709.55,420,47 05'N,73 30'W,Cannell (1982).   Page 48
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,47729.5163,0.2026,446.51,17.95,1709.55,420,47 05'N,73 30'W,Cannell (1982).   Page 48
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,48502.0243,0.1235,402.81,14.79166667,1305.82,420,47 05'N,73 30'W,Cannell (1982).   Page 48
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,59865.0927,0.1186,933.76,1.583333333,618.65,420,47 05'N,73 30'W,Cannell (1982).   Page 48
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,17509.7276,0.514,933.76,1.583333333,618.65,420,47 05'N,73 30'W,Cannell (1982).   Page 49
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,23368.7405,0.3954,933.76,1.583333333,618.65,420,47 05'N,73 30'W,Cannell (1982).   Page 49
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,22591.3621,0.3311,933.76,1.583333333,618.65,420,47 05'N,73 30'W,Cannell (1982).   Page 49
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,30426.7844,0.2718,933.76,1.583333333,618.65,420,47 05'N,73 30'W,Cannell (1982).   Page 49
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,36787.2471,0.1631,933.76,1.583333333,618.65,420,47 05'N,73 30'W,Cannell (1982).   Page 49
Pinus banksiana  with some Picea mariana et al.,Canada  Quebec  NW of Trois Rivières  Mattswin River,44,39567.3412,0.1433,933.76,1.583333333,618.65,420,47 05'N,73 30'W,Cannell (1982).   Page 49
Pinus contorta  with few Picea glauca var. albertiana,Canada  Alberta  Kananakis Forest Research Station,100,95081.3169,0.2521,540.4,1.691666667,701.5,1400,51 06'N,115 04'W,Cannell (1982).   Page 50
Pinus contorta  with few Picea glauca var. albertiana,Canada  Alberta  Kananakis Forest Research Station,100,266666.667,0.0717,540.4,1.691666667,701.5,1400,51 06'N,115 04'W,Cannell (1982).   Page 50
Pinus contorta  with few Picea glauca var. albertiana,Canada  Alberta  Kananakis Forest Research Station,100,7310.10851,1.2257,540.4,1.691666667,701.5,1400,51 06'N,115 04'W,Cannell (1982).   Page 50
Bellucia grossularioides  Miconia minutiflora et al.,Colombia  Magdalen Valley  50Km S of Barrancas Bermeja,5,17135.1351,0.37,2909.37,28.11666667,1517.68,100,6 50'N,73 55'W,Cannell (1982).   Page 54
Bellucia grossularioides  Miconia minutiflora et al.,Colombia  Magdalen Valley  50Km S of Barrancas Bermeja,16,162929.624,0.1222,2909.37,28.11666667,1517.68,100,6 50'N,73 55'W,Cannell (1982).   Page 54
Abies alba,Czechoslovakia  Olomucany Forest District,51,96520.6959,0.1667,509.74,7.766666667,733.22,460,49 19'N,16 40'E,Cannell (1982).   Page 57
Quercus robur (19%) [a]  Fraxinus excelsior (19%) [a]  Tilia sp.  Acer sp. et al.,Czechoslovakia  S. Moravia  Lednice,96,151405.152,0.0854,420.64,9.533333333,802.72,162,48 48'N,16 26'E,Cannell (1982).   Page 57
Fagus sylvatica,Denmark  N_delbo,47,91486.39218,0.1433,566.78,8.283333333,608.8,200,56 00'N,12 20'E,Cannell (1982).   Page 58
Fagus sylvatica,Denmark  N_delbo,54,162343.0962,0.0956,566.78,8.283333333,608.8,200,56 00'N,12 20'E,Cannell (1982).   Page 58
Fagus sylvatica,Denmark  N_delbo,58,99921.01106,0.1266,566.78,8.283333333,608.8,200,56 00'N,12 20'E,Cannell (1982).   Page 58
Fagus sylvatica,Denmark  N_delbo,118,1197785.978,0.0271,566.78,8.283333333,608.8,200,56 00'N,12 20'E,Cannell (1982).   Page 58
Fagus sylvatica,Denmark  N_delbo,150,956333.3333,0.03,566.78,8.283333333,608.8,200,56 00'N,12 20'E,Cannell (1982).   Page 58
Fagus sylvatica,Denmark  N_delbo,200,2036363.636,0.0154,566.78,8.283333333,608.8,200,56 00'N,12 20'E,Cannell (1982).   Page 58
Betula pubescens (84%) [a]  Betula verrucosa (16%) [a],Finland  Orivesi,40,88932.8063,0.1012,520.8,3.208333333,489.04,160,61 37'N,24 09'E,Cannell (1982).   Page 61
Picea abies,Finland  Oulu,260,165454.545,0.055,534.45,-1.025,402.72,270,66 22'N,29 00'E,Cannell (1982).   Page 62
Pinus sylvestris,Finland  Tammela,28,5874.27001,0.2911,554.71,3.491666667,492.055,125-140,60 31'-61 40'N,23 51-24 19'E,Cannell (1982).   Page 63
Pinus sylvestris,Finland  Tammela,47,48165.6805,0.0845,554.71,3.491666667,492.055,125-140,60 31'-61 40'N,23 51-24 19'E,Cannell (1982).   Page 63
Pinus sylvestris,Finland  Tammela,45,51197.1831,0.142,554.71,3.491666667,492.055,125-140,60 31'-61 40'N,23 51-24 19'E,Cannell (1982).   Page 63
Carpinus betulus  Betula pubescens,France  near Orl_ans,35,20074.94647,0.5604,575.49,10.91666667,738.16,50-200,47 50'N,1 50'E,Cannell (1982).   Page 65
Carpinus betulus  Betula pubescens,France  near Orl_ans,25,12089.35611,0.6849,575.49,10.91666667,738.16,50-200,47 50'N,1 50'E,Cannell (1982).   Page 65
Pinus nigra ssp. laricio  (80%) [a],France  Vienne  20Km N of Poitiers  Moulières,15,30820.1058,0.378,647.99,11.43333333,753.32,100,46 45'N,0 20'E,Cannell (1982).   Page 69
Quercus robur  Picea abies (98%) [a],France  Vienne  20Km N of Poitiers  Moulières,15,15335.4633,0.3443,647.99,11.43333333,753.32,100,46 45'N,0 20'E,Cannell (1982).   Page 69
Pseudotsuga menziesii,France  15km NE of Nancy,24,128666.667,0.15,707.39,9.441666667,690.27,,48 45'N,6 30'E,Cannell (1982).   Page 71
Fagus sylvatica,Germany  Federal Republic  55 km NW of G_ttingen  Solling plateau,59,42486.1878,0.362,803.5,7.633333333,601.72,430-500,51 45-49'N,9 34-36'E,Cannell (1982).   Page 72
Fagus sylvatica,Germany  Federal Republic  55 km NW of G_ttingen  Solling plateau,80,133445.378,0.119,803.5,7.633333333,601.72,430-500,51 45-49'N,9 34-36'E,Cannell (1982).   Page 72
Fagus sylvatica,Germany  Federal Republic  55 km NW of G_ttingen  Solling plateau,122,1127572.02,0.0243,803.5,7.633333333,601.72,430-500,51 45-49'N,9 34-36'E,Cannell (1982).   Page 72
Betula pubescens (B. pubescens x B. glandulosa),Greenland  Nordre Sermilik Fjord  Eqaluit,79,22558.1395,0.215,691.69,-1.158333333,400.32,120-135,61 06'N,45 58'W,Cannell (1982).   Page 75
Shorea robusta  with Buchanania lanzan  Anogeissus latifolia et al.,India  Varanasi  Chakia Forest,38,39368.9986,0.0729,861.55,26.11666667,1563.17,300-350,25 20'N,83 00'E,Cannell (1982).   Page 81
Shorea robusta  with Buchanania lanzan  Anogeissus latifolia et al.,India  Varanasi  Chakia Forest,60,292168.675,0.0664,861.55,26.11666667,1563.17,300-350,25 20'N,83 00'E,Cannell (1982).   Page 81
Fagus sylvatica,Italy  Lazio  Mount Terminillo,60,40947.0752,0.359,755.77,9.158333333,835.15,1709,42 30'N,13 00'E,Cannell (1982).   Page 86
Acacia dealbata,Janpan  Okayama Prefecture,4,9000,0.4,1307.77,13.775,926.2,-9999,35 N,134 E,Cannell (1982).   Page 93
Acacia dealbata,Janpan  Okayama Prefecture,4,7450,0.4,1307.77,13.775,926.2,-9999,35 N,134 E,Cannell (1982).   Page 93
Acacia mollissima,Japan Kumamoto Prefecture,3,11275.3623,0.345,2049.78,15.65,949.14,80,32 30'N,130 30'E,Cannell (1982).   Page 95
Acacia mollissima,Japan Kumamoto Prefecture,5,18078.4314,0.51,2049.78,15.65,949.14,80,32 30'N,130 30'E,Cannell (1982).   Page 95
Acacia mollissima,Japan Kumamoto Prefecture,7,28857.1429,0.315,2049.78,15.65,949.14,80,32 30'N,130 30'E,Cannell (1982).   Page 95
A. mollissima,Japan  Fukuoka Perfecture,4,4979.16667,1.44,2049.78,15.65,949.14,60,33 30'N,130 30'E,Cannell (1982).   Page 95
Betula grossa (81%) [a],Janpan Wakayama Prefecture  Kyoto University Forest,13,1794.25837,2.0064,-9999,-9999,-9999,850-1000,30 04'N,135 30'E,Cannell (1982).   Page 96
Betula maximowicziana,Japan  Hokkaido  near Mount Asibetu,47,234000,0.05,89.81416667,3.616666667,608.16,260,43 13'N,142 27'E,Cannell (1982).   Page 97
Betula maximowicziana,Japan  Hokkaido  near Mount Asibetu,47,238333.333,0.06,89.81416667,3.616666667,608.16,260,43 13'N,142 27'E,Cannell (1982).   Page 97
Betula maximowicziana,Japan  Hokkaido  near Mount Asibetu,47,335555.556,0.027,89.81416667,3.616666667,608.16,260,43 13'N,142 27'E,Cannell (1982).   Page 97
Betula platyphylla,Japan  Hokkaido,10,970.77134,1.8954,1010.68,5.841666667,616.2,70,43 00'N,144 00'E,Cannell (1982).   Page 98
Camellia japonica,Japan  Mie Perfecture,70,41931.8182,0.46,1968.1,11.31666667,852.44,300-400,34 30'N,136-137 E,Cannell (1982).   Page 99
Camellia japonica,Japan  Mie Perfecture,70,32847.8261,0.9,1968.1,11.31666667,852.44,300-400,34 30'N,136-137 E,Cannell (1982).   Page 99
Camellia japonica,Japan  Mie Perfecture,70,12700,0.43,1968.1,11.31666667,852.44,300-400,34 30'N,136-137 E,Cannell (1982).   Page 99
Castanopsis cuspidata,Japan  Kumamoto Perfecture,12,3434.78261,1.38,2594.81,12.79166667,841.86,-9999,32 30N,130 40'E,Cannell (1982).   Page 103
Castanopsis cuspidata,Japan  Kumamoto Perfecture,12,3177.03349,2.09,2594.81,12.79166667,841.86,-9999,32 30N,130 40'E,Cannell (1982).   Page 103
Castanopsis cuspidata with a few Quercus glauca,Japan  Kumamoto Perfecture  near Kumamoto City,10,979.31034,5.8,1810.28,16.65833333,1007.75,80,32 50'N,130 40'E,Cannell (1982).   Page 104
Castanopsis cuspidata with a few Quercus glauca,Japan  Kumamoto Perfecture  near Kumamoto City,10,1521.70227,2.3592,1810.28,16.65833333,1007.75,80,32 50'N,130 40'E,Cannell (1982).   Page 104
Castanopsis cuspidata with a few Quercus glauca,Japan  Kumamoto Perfecture  near Kumamoto City,11,1342.85714,4.2,1810.28,16.65833333,1007.75,80,32 50'N,130 40'E,Cannell (1982).   Page 104
Castanopsis cuspidata with a few Quercus glauca,Japan  Kumamoto Perfecture  near Kumamoto City,14,3263.46941,2.4667,1810.28,16.65833333,1007.75,80,32 50'N,130 40'E,Cannell (1982).   Page 104
Cyclobalanopsis myrsinaefolia,Japan Shimane Perfectire  Hakuto cho  Takae,8,17974.0872,2.2286,1604.52,14.56666667,967.5,300,35 N,132 E,Cannell (1982).   Page 108
Cyclobalanopsis myrsinaefolia,Japan Shimane Perfectire  Hakuto cho  Takae,15,23434.7742,1.6417,1604.52,14.56666667,967.5,300,35 N,132 E,Cannell (1982).   Page 108
Cyclobalanopsis myrsinaefolia,Japan Shimane Perfectire  Hakuto cho  Takae,25,45153.0612,1.2108,1604.52,14.56666667,967.5,300,35 N,132 E,Cannell (1982).   Page 108
Fagus crenata (72%) [a]  Carpinus tschonoskii  Acer tschonoskii et al.,Japan  Kyoto Perfectrue  Yura River,150,372484.076,0.0785,1569.21,11.4,835.41,680,35 20'N,135 45'E,Cannell (1982).   Page 116
Sasa nipponica,Japan  Nagano Perfecture,2,2.10797,389,1338.17,7.9,764.91,1700,35 55'N,138 10'E,Cannell (1982).   Page 121
Sasa kurilensis,Japan  Nagano Perfecture,9.2,55.27273,27.5,1361.84,4.925,650.93,550,43 00'N,140 55'E,Cannell (1982).   Page 121
Abies veitchii,Japan  yamaguchi Perfecture NNW slope of Mount Fuji,4,1.26,1000,1680.7,6.85,744.37,1530,35 30'N,138 40'E,Cannell (1982).   Page 129
Abies veitchii,Japan  yamaguchi Perfecture NNW slope of Mount Fuji,20,3538.46154,1.95,1680.7,6.85,744.37,1530,35 30'N,138 40'E,Cannell (1982).   Page 129
Abies veitchii,Japan  yamaguchi Perfecture NNW slope of Mount Fuji,5,319.04762,63,1680.7,6.85,744.37,1500,35 30'N,138 40'E,Cannell (1982).   Page 130
Abies veitchii,Japan  yamaguchi Perfecture NNW slope of Mount Fuji,23,40125.2408,0.2076,1680.7,6.85,744.37,1530,35 30'N,138 40'E,Cannell (1982).   Page 130
Pinus densiflora,Japan  Tochigi Perfecture  Mashiko town National Forest,18,6038.320108,0.5167,1128.08,14.26666667,935.8,-9999,36 00N,140 00'E,Cannell (1982).   Page 171
Pinus densiflora,Japan  Tochigi Perfecture  Mashiko town National Forest,18,4806.394685,0.9633,1128.08,14.26666667,935.8,-9999,36 00N,140 00'E,Cannell (1982).   Page 171
Pinus densiflora,Japan  Tochigi Perfecture  Mashiko town National Forest,18,1573.118891,3.6933,1128.08,14.26666667,935.8,-9999,36 00N,140 00'E,Cannell (1982).   Page 171
Pinus densiflora,Japan  Okita,20,14136.3636,0.66,1189.53,9.975,788.41,300,39 02'N,141 21'E,Cannell (1982).   Page 174
Pinus densiflora,Japan  Shizuoka University Foerst,16,5673.42074,0.839,1189.53,9.975,788.41,300,39 02'N,141 21'E,Cannell (1982).   Page 174
Quercus petraea with Fagus sylvatica and an understorey of Sorbus aucuparia and Frangula alnus,Netherlands  Meerdink,140,894333.333,0.03,686.81,9.45,608,45,51 55'N,6 42'E,Cannell (1982).   Page 201
Nothofdgus truncata,New Zealand  Nr Wellington  Western Hut Hills,110,567768.595,0.0484,1371.13,11.84166667,791.77,,41 20'S,175 00'E,Cannell (1982).   Page 204
Pinus sylvestris with Quercus robur and Betula verrucosa,Poland  Kampions National Park,85,131568.627,0.102,478.42,7.991666667,662.6,105,52 20'N,20 50'E,Cannell (1982).   Page 214
Quercus pubescens syn. lanuginosa,Rumania  Babadag,37,21868.1319,0.273,326.32,11.38333333,844.14,175,44 54'N,28 43'E,Cannell (1982).   Page 219
Quercus pedunculiflora,Rumania  Babadag,37,26446.7005,0.197,326.32,11.38333333,844.14,175,44 54'N,28 43'E,Cannell (1982).   Page 219
A. alba,Rumania Sinaia,110,969278.351,0.0485,801.8,6.233333333,633.98,950-1010,45 23'N,23 15'E,Cannell (1982).   Page 220
Pinus sylvestris  with an understorey of Ilex aquifolium,Spain San Juan de las Pe_a  near Jaca,80,231490.385,0.0832,655.84,11.18333333,1054.75,1230,42 30'N,0 40'W,Cannell (1982).   Page 221
Picea abies,Sweden  Kongalund,55,350000,0.088,595.655,7.391666667,573.095,120,55 42-59'N,13 10-55'E,Cannell (1982).   Page 224
Fagus sylvatica,Sweden  Kongalund,90,1348333.33,0.024,595.655,7.391666667,573.095,120,55 42-59'N,13 10-55'E,Cannell (1982).   Page 224
Pinus sylvestris,Sweden  Ytterhogdal,84,154060.606,0.0825,553.63,1.933333333,475,295,62 10'N,14 50'E,Cannell (1982).   Page 225
Picea abies (51%) [a]  Pinus sylvestris,Sweden  Siljansfors,145,68576.1047,0.1222,598.69,2.675,495.13,300,60 55'N,14 25'E,Cannell (1982).   Page 225
Pinus sylvestris with Picea abies et al.,Sweden  J_draÎs,9,19422.9416,0.1421,590.08,3.425,481.085,170-205,60 48-51'N,16 25-31'E,Cannell (1982).   Page 227
Pinus sylvestris with Picea abies et al.,Sweden  J_draÎs,12,7884.50861,0.1801,590.08,3.425,481.085,170-205,60 48-51'N,16 25-31'E,Cannell (1982).   Page 227
Pinus sylvestris with Picea abies et al.,Sweden  J_draÎs,14,12647.7541,0.2538,590.08,3.425,481.085,170-205,60 48-51'N,16 25-31'E,Cannell (1982).   Page 227
