Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Boreal/alpine Picea-Abies forest,Sichuan,166,544781.7837,0.0527,548.54,-0.233333333,748.85,3480,32,102.9,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,169,703119.7772,0.0359,615.26,4.458333333,904.82,3633,29,101.5,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,163,453795.4939,0.0577,519.04,-0.2,832.02,2804,31.4,103.1,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,169,371571.0383,0.0732,525.21,3.233333333,832.87,3000,31.6,102.8,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,206,801342.9257,0.0417,526.04,1.708333333,793.11,3475,32,102.6,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,243,682507.2886,0.0343,529.98,1.033333333,793.66,3638,31.9,102.2,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,119,341138.5199,0.1054,529.98,1.033333333,793.66,3500,31.8,102.2,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,91,328410.4046,0.0692,550.95,4.15,765.58,3178,31.6,103.8,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,144,316875.9342,0.0669,645.1,9.808333333,1055.53,3722,27.9,101.2,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,122,300902.0218,0.0643,497.87,2.625,799.66,3200,33.25,103.77,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,210,287406.25,0.064,542.79,0.233333333,721.34,3200,32.6,103.76,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,103,259741.3793,0.0696,497.87,2.625,799.66,3200,33.3,103.75,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,143,311374.7228,0.0451,495.77,1.375,765.67,3200,33.52,103.76,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,208,396698.1132,0.053,377.37,11.69166667,901.09,3200,33.52,104.9,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,151,381943.3198,0.0494,495.77,1.375,765.67,3195,33.57,103.67,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,121,267405.8577,0.0478,495.77,1.375,765.67,3200,33.58,103.73,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,137,273414.9856,0.0694,478.32,1.658333333,790.23,3480,33.6,103.33,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,130,246914.8936,0.047,479.05,2.616666667,792.08,3200,33.6,103.74,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,115,270386.7403,0.0543,479.05,2.616666667,792.08,3252,33.62,103.73,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,120,809038.4615,0.026,479.05,2.616666667,792.08,3200,33.63,103.76,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,118,371472.2222,0.072,479.05,2.616666667,792.08,3142,33.65,103.75,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,94,276836.5554,0.0569,479.05,2.616666667,792.08,3204,33.67,103.77,Luo 1996
