site,family,genus,species,height,biomass
Road,Poaceae,Festuca,arizonica,9,0.046
Road,Poaceae,Festuca,arizonica,10.1,0.054
Road,Poaceae,Festuca,arizonica,15.2,0.287
Road,Poaceae,Festuca,arizonica,15.5,0.12
Road,Poaceae,Festuca,arizonica,8.9,0.128
Road,Poaceae,Festuca,arizonica,25,0.146
Road,Poaceae,Festuca,arizonica,29.5,0.327
Road,Poaceae,Festuca,arizonica,13.1,0.287
Road,Poaceae,Festuca,arizonica,17.6,0.109
Road,Poaceae,Festuca,arizonica,21.6,0.14
Road,Poaceae,Festuca,arizonica,15.9,0.269
Road,Poaceae,Festuca,arizonica,17.4,0.157
Road,Poaceae,Festuca,arizonica,17.9,0.176
Road,Poaceae,Festuca,arizonica,17.2,0.128
Road,Poaceae,Festuca,arizonica,13.4,0.1
Road,Poaceae,Festuca,arizonica,15.8,0.028
Road,Poaceae,Festuca,arizonica,16.2,0.051
Road,Poaceae,Festuca,arizonica,17.6,0.028
Road,Poaceae,Festuca,arizonica,39.6,0.278
Road,Poaceae,Festuca,arizonica,16.6,0.119
Road,Poaceae,Festuca,arizonica,15.2,0.036
Road,Poaceae,Festuca,arizonica,39,0.475
Road,Poaceae,Festuca,arizonica,10.2,0.132
Road,Poaceae,Festuca,arizonica,18.5,0.125
Road,Poaceae,Festuca,arizonica,29,0.328
Road,Poaceae,Festuca,arizonica,17.1,0.154
Road,Poaceae,Festuca,arizonica,22,0.231
Road,Poaceae,Festuca,arizonica,34.6,0.102
Road,Poaceae,Festuca,arizonica,15.4,0.115
Road,Poaceae,Festuca,arizonica,16,0.054
Road,Poaceae,Festuca,arizonica,16.1,0.02
Road,Poaceae,Festuca,arizonica,8.4,0.025
Road,Poaceae,Festuca,arizonica,6.5,0.075
Road,Poaceae,Festuca,arizonica,13.5,0.064
Road,Poaceae,Festuca,arizonica,19.2,0.121
Road,Poaceae,Festuca,arizonica,11.1,0.087
Road,Poaceae,Festuca,arizonica,10.5,0.039
Road,Poaceae,Festuca,arizonica,31.9,0.129
Road,Poaceae,Festuca,arizonica,27.6,0.253
Road,Poaceae,Festuca,arizonica,19.5,0.277
Road,Poaceae,Festuca,arizonica,11.5,0.167
Road,Poaceae,Festuca,arizonica,28.9,0.16
Road,Poaceae,Festuca,arizonica,21.3,0.05
Road,Poaceae,Festuca,arizonica,7.5,0.046
