Species,SpCode,Form,Regression,BSD,Ht,Spread,Canopy.diam.NS,Canopy.diam.EW,DryMassForm,DryMassSpecies,DryMass
NA,ACWR,Herb,Herb,3.5,56,107,117,97,311.7736982,NA,311.7736982
NA,ACWR,Herb,Herb,5,66,75,86,64,293.1750418,NA,293.1750418
NA,ACWR,Herb,Herb,4.5,78,96,94,98,385.343523,NA,385.343523
NA,ACWR,Herb,Herb,24.5,92,129.5,122,137,2924.080149,NA,2924.080149
NA,ACWR,Herb,Herb,9.5,71,80.5,75,86,600.4836355,NA,600.4836355
NA,ACWR,Herb,Herb,16,89,139.5,129,150,2131.65702,NA,2131.65702
4,AMDE,Woody,4,2.25,40,23,22,24,39.52197583,27.62354361,27.62354361
4,AMDE,Woody,4,5.5,61,59,57,61,358.0012158,220.1678093,220.1678093
4,AMDE,Woody,4,3,38,28.5,26,31,68.02454459,41.06758389,41.06758389
4,AMDE,Woody,4,5.5,38,40.5,39,42,195.7352189,88.19795681,88.19795681
4,AMDE,Woody,4,4,42,75,92,58,305.1176108,211.8348597,211.8348597
4,AMDE,Woody,4,2.5,41,79,70,88,197.4763598,187.3747653,187.3747653
4,AMDE,Woody,4,4.5,42,65,74,56,290.2202876,178.8469987,178.8469987
4,AMDE,Woody,4,5,38,57,66,48,267.8168584,142.0630638,142.0630638
4,AMDE,Woody,4,4.5,43,26.5,32,21,98.87445413,47.22508766,47.22508766
4,AMDE,Woody,4,5.5,41,67,65,69,368.3343774,198.8330339,198.8330339
4,AMDE,Woody,4,6.5,44,72.5,62,83,493.1607737,251.6986159,251.6986159
4,AMDE,Woody,4,2,44,54.5,41,68,102.1559072,103.5600791,103.5600791
4,AMDE,Woody,4,6.5,44,80.5,90,71,559.6527203,294.5945587,294.5945587
4,AMDE,Woody,4,5.5,44,57,45,69,309.7980861,164.2748132,164.2748132
4,AMDE,Woody,4,4.5,44,63.5,56,71,286.3134281,178.7070046,178.7070046
4,AMDE,Woody,4,4.5,48,43,43,43,183.7238273,106.0415167,106.0415167
4,AMDE,Woody,4,5.5,48,84.5,88,81,512.3850712,316.600727,316.600727
4,AMDE,Woody,4,4.5,48,53.5,62,45,239.2337269,147.27594,147.27594
4,AMDE,Woody,4,4,42,61,56,66,237.704929,155.2709513,155.2709513
4,AMDE,Woody,4,4,43,83,98,68,347.437164,251.0230716,251.0230716
4,AMDE,Woody,4,10.5,44,88.5,98,79,1034.897892,409.4482306,409.4482306
4,AMDE,Woody,4,7.5,47,95.5,99,92,815.5366262,422.7925671,422.7925671
4,AMDE,Woody,4,5.5,44,57,45,69,309.7980861,164.2748132,164.2748132
4,AMDE,Woody,4,4.5,46,59,54,64,265.6756342,165.3447691,165.3447691
4,AMDE,Woody,4,3.5,45,51,46,56,170.2254999,118.4955509,118.4955509
4,AMDE,Woody,4,2,47,87,57,117,183.5431613,219.6395135,219.6395135
4,AMDE,Woody,4,3.5,47,51,39,63,172.5741304,122.3584889,122.3584889
4,AMDE,Woody,4,7.5,47,95.5,99,92,815.5366262,422.7925671,422.7925671
4,AMDE,Woody,4,5.5,49,69.5,54,85,407.2502084,239.6166103,239.6166103
4,AMDE,Woody,4,8,58,103,93,113,1021.259325,567.2610805,567.2610805
4,AMDE,Woody,4,5.5,58,127,124,130,889.8420601,671.6987463,671.6987463
4,AMDE,Woody,4,4,58,59,58,60,252.7645293,187.3854296,187.3854296
4,AMDE,Woody,4,6.5,58,104,107,101,832.0341952,530.8517623,530.8517623
4,AMDE,Woody,4,4.5,49,63.5,66,61,296.1906291,193.4750783,193.4750783
4,AMDE,Woody,4,4,49,87,83,91,383.2239254,296.6846056,296.6846056
4,AMDE,Woody,4,6,49,71,66,76,457.5992931,255.9620989,255.9620989
4,AMDE,Woody,4,2,45,77,91,63,156.2100101,177.0322453,177.0322453
4,AMDE,Woody,4,3.5,56,64.5,63,66,242.2112953,198.2001328,198.2001328
4,AMDE,Woody,4,3,56,80,80,80,267.5347216,258.0184639,258.0184639
4,AMDE,Woody,4,13.5,56,107,98,116,1825.455922,717.6538804,717.6538804
4,AMDE,Woody,4,4,50,64,77,51,266.1299532,189.8007892,189.8007892
4,AMDE,Woody,4,2.5,51,34,40,28,76.37303043,61.96538827,61.96538827
4,AMDE,Woody,4,7.5,52,123.5,115,132,1148.709259,670.4994968,670.4994968
4,AMDE,Woody,4,5,52,102.5,108,97,600.7803957,432.6404437,432.6404437
4,AMDE,Woody,4,4.5,52,87.5,91,84,444.5807775,327.3377874,327.3377874
4,AMDE,Woody,4,6,52,83.5,80,87,567.1802714,341.2712539,341.2712539
4,AMDE,Woody,4,4.5,52,88,90,86,447.6524291,330.154045,330.154045
4,AMDE,Woody,4,9,54,84,81,87,882.4781433,414.6354106,414.6354106
4,AMDE,Woody,4,5,70,91.5,86,97,575.2006902,454.1905415,454.1905415
4,AMDE,Woody,4,4,41,88.5,89,88,369.8535294,266.8998279,266.8998279
4,AMDE,Woody,4,4,60,61.5,50,73,268.6175023,204.5004973,204.5004973
4,AMDE,Woody,4,5,70,75.5,74,77,455.9859381,340.2032212,340.2032212
4,AMDE,Woody,4,6.5,44,80.5,90,71,559.6527203,294.5945587,294.5945587
4,AMDE,Woody,4,4.5,75,81,81,81,454.5315537,381.8876903,381.8876903
4,AMDE,Woody,4,5.5,44,57,45,69,309.7980861,164.2748132,164.2748132
4,AMDE,Woody,4,4,38,34.5,41,28,115.6793952,61.22141784,61.22141784
4,AMDE,Woody,4,2.5,43,28,30,26,57.2398188,40.80470929,40.80470929
4,AMDE,Woody,4,7.5,59,87.5,101,74,788.2245387,438.3851142,438.3851142
4,AMDE,Woody,4,5,48,53.5,55,52,267.0257264,153.4445985,153.4445985
4,AMDE,Woody,4,9,48,95,94,96,986.6558153,457.3844606,457.3844606
4,AMDE,Woody,4,10.5,69,106,103,109,1483.068943,748.4471746,748.4471746
4,AMDE,Woody,4,19,50,101.5,101,102,2360.418138,696.5476771,696.5476771
4,AMDE,Woody,4,3.5,54,47.5,45,50,165.4495055,121.813084,121.813084
4,AMDE,Woody,4,6.5,67,67.5,50,85,516.4576827,308.2803812,308.2803812
4,AMDE,Woody,4,6.5,68,96.5,95,98,799.1535989,533.4136726,533.4136726
4,AMDE,Woody,4,4.5,53,54,44,64,249.6118001,160.6767942,160.6767942
4,AMDE,Woody,4,4.5,53,60.5,54,67,286.3600197,190.6189851,190.6189851
4,AMDE,Woody,4,5.5,56,60,55,65,355.6319152,211.9960249,211.9960249
4,AMDE,Woody,4,4.5,44,63.5,56,71,286.3134281,178.7070046,178.7070046
4,AMDE,Woody,4,8.5,63,88.5,94,83,929.5922005,491.429523,491.429523
4,AMDE,Woody,4,6,60,80,62,98,563.4214984,355.6217796,355.6217796
4,AMDE,Woody,4,4,39,48.5,48,49,176.0178256,104.1407525,104.1407525
4,AMDE,Woody,4,4.5,54,28,22,34,113.5407792,60.68797247,60.68797247
4,AMDE,Woody,4,5,38,57,66,48,267.8168584,142.0630638,142.0630638
4,AMDE,Woody,4,7,58,103.5,101,106,893.6853764,542.4510487,542.4510487
4,AMDE,Woody,4,4,61,91.5,94,89,436.4117107,376.1883591,376.1883591
4,AMDE,Woody,4,4,67,48.5,61,36,208.743105,155.2358382,155.2358382
4,AMDE,Woody,4,5.5,72,103,111,95,739.5750231,575.0233832,575.0233832
4,AMDE,Woody,4,4,42,75,92,58,305.1176108,211.8348597,211.8348597
4,AMDE,Woody,4,5.5,55,72,59,85,440.7733872,275.1695095,275.1695095
4,AMDE,Woody,4,7,57,92,78,106,770.8913625,448.6244322,448.6244322
4,AMDE,Woody,4,6.5,53,96,81,111,734.1724803,440.3791511,440.3791511
4,AMDE,Woody,4,8,61,113,108,118,1160.550606,676.7702473,676.7702473
4,AMDE,Woody,4,7.5,57,80.5,81,80,704.9731488,377.0192167,377.0192167
4,AMDE,Woody,4,5,40,76.5,73,80,388.393084,229.6340689,229.6340689
4,AMDE,Woody,4,4,61,62.5,53,72,275.3346896,212.0907357,212.0907357
4,AMDE,Woody,4,4,47,57.5,60,55,229.3094139,154.3636449,154.3636449
4,AMDE,Woody,4,4,48,50.5,56,45,197.3237122,128.9824877,128.9824877
4,AMDE,Woody,4,6,60,85.5,94,77,610.5574913,393.0088462,393.0088462
4,AMDE,Woody,4,9,62,111,102,120,1290.851459,698.0905559,698.0905559
4,AMDE,Woody,4,4,56,62.5,58,67,268.0136736,199.12304,199.12304
4,AMDE,Woody,4,4.5,64,77.5,69,86,409.899911,317.8918696,317.8918696
4,AMDE,Woody,4,8.5,59,85.5,84,87,873.4082217,444.5567864,444.5567864
4,AMDE,Woody,4,8.5,61,82,71,93,839.1599649,427.8747684,427.8747684
4,AMDE,Woody,4,15,59,130,116,144,2620.736708,1041.324376,1041.324376
4,AMDE,Woody,4,6,50,58,55,61,360.6768503,191.6899345,191.6899345
4,AMDE,Woody,4,2,45,77,91,63,156.2100101,177.0322453,177.0322453
4,AMDE,Woody,4,5.5,50,96,88,104,605.5423668,395.2792485,395.2792485
4,AMDE,Woody,4,6,52,66.5,44,89,430.7799356,242.3599357,242.3599357
4,AMDE,Woody,4,7,62,57.5,50,65,448.5873532,235.4706198,235.4706198
4,AMDE,Woody,4,3.5,57,70,59,81,268.8810584,227.0936273,227.0936273
4,AMDE,Woody,4,5.5,57,79,76,82,498.6483907,324.8067521,324.8067521
