Tree #,Species,DBH1,logDBH1,Status,DBH2,logDBH2
406,Acer saccharum,3.1,0.491361694,alive,3.10,0.491361694
1151,Acer saccharum,3.1,0.491361694,alive,3.10,0.491361694
145,Acer saccharum,3.1,0.491361694,alive,3.20,0.505149978
1067,Acer saccharum,3.1,0.491361694,alive,3.20,0.505149978
215,Acer saccharum,3.1,0.491361694,alive,3.30,0.51851394
397,Acer saccharum,3.1,0.491361694,alive,3.30,0.51851394
921,Acer saccharum,3.1,0.491361694,alive,3.30,0.51851394
935,Acer saccharum,3.1,0.491361694,alive,3.40,0.531478917
80,Acer saccharum,3.1,0.491361694,alive,3.50,0.544068044
579.1,Acer saccharum,3.1,0.491361694,alive,3.50,0.544068044
710,Acer saccharum,3.1,0.491361694,alive,3.50,0.544068044
946,Acer saccharum,3.1,0.491361694,alive,3.80,0.579783597
290,Fagus grandifolia,3.1,0.491361694,alive,3.10,0.491361694
1510,Fagus grandifolia,3.10,0.491361694,alive,4.10,0.612783857
1779,Prunus serotina,3.10,0.491361694,alive,4.80,0.681241237
1807,Fagus grandifolia,3.15,0.498310554,alive,3.20,0.505149978
1930,Prunus serotina,3.2,0.498761854,alive,3.70,0.568201724
285,Acer saccharum,3.2,0.505149978,alive,3.30,0.51851394
626,Acer saccharum,3.2,0.505149978,alive,3.30,0.51851394
1153,Acer saccharum,3.2,0.505149978,alive,3.30,0.51851394
208,Acer saccharum,3.2,0.505149978,alive,3.40,0.531478917
571,Acer saccharum,3.2,0.505149978,alive,3.40,0.531478917
1102,Acer saccharum,3.2,0.505149978,alive,3.40,0.531478917
696,Acer saccharum,3.2,0.505149978,alive,3.50,0.544068044
863,Acer saccharum,3.2,0.505149978,alive,3.50,0.544068044
902,Acer saccharum,3.2,0.505149978,alive,3.50,0.544068044
1817,Acer saccharum,3.20,0.505149978,alive,3.50,0.544068044
166,Acer saccharum,3.2,0.505149978,alive,3.60,0.556302501
604,Acer saccharum,3.2,0.505149978,alive,3.60,0.556302501
904,Acer saccharum,3.2,0.505149978,alive,3.60,0.556302501
345,Acer saccharum,3.2,0.505149978,alive,3.80,0.579783597
223,Acer saccharum,3.2,0.505149978,alive,3.90,0.591064607
1901.1,Crateagus spp.,3.20,0.505149978,alive,3.70,0.568201724
1544,Fagus grandifolia,3.20,0.505149978,alive,3.30,0.51851394
1873.1,Fagus grandifolia,3.20,0.505149978,alive,3.30,0.51851394
1893,Fagus grandifolia,3.20,0.505149978,alive,3.30,0.51851394
1806,Fagus grandifolia,3.20,0.505149978,alive,3.50,0.544068044
1894,Fagus grandifolia,3.20,0.505149978,alive,3.50,0.544068044
648,Fagus grandifolia,3.2,0.505149978,alive,3.90,0.591064607
1235,Ostrya virginia,3.25,0.511883361,alive,3.60,0.556302501
1515,Prunus serotina,3.25,0.511883361,alive,3.50,0.544068044
1605,Prunus serotina,3.25,0.511883361,alive,3.80,0.579783597
744,Acer saccharum,3.3,0.515873844,alive,3.80,0.579783597
742,Acer saccharum,3.3,0.51851394,alive,3.40,0.531478917
929,Acer saccharum,3.3,0.51851394,alive,3.40,0.531478917
1037,Acer saccharum,3.3,0.51851394,alive,3.40,0.531478917
1156,Acer saccharum,3.3,0.51851394,alive,3.40,0.531478917
1190,Acer saccharum,3.3,0.51851394,alive,3.40,0.531478917
1196,Acer saccharum,3.3,0.51851394,alive,3.40,0.531478917
318,Acer saccharum,3.3,0.51851394,alive,3.50,0.544068044
878,Acer saccharum,3.3,0.51851394,alive,3.50,0.544068044
975,Acer saccharum,3.3,0.51851394,alive,3.50,0.544068044
1123,Acer saccharum,3.3,0.51851394,alive,3.50,0.544068044
149,Acer saccharum,3.3,0.51851394,alive,3.60,0.556302501
1015,Acer saccharum,3.3,0.51851394,alive,3.60,0.556302501
143,Acer saccharum,3.3,0.51851394,alive,3.70,0.568201724
880,Acer saccharum,3.3,0.51851394,alive,3.70,0.568201724
916,Acer saccharum,3.3,0.51851394,alive,3.70,0.568201724
168,Acer saccharum,3.3,0.51851394,alive,3.80,0.579783597
790,Acer saccharum,3.3,0.51851394,alive,3.80,0.579783597
838,Acer saccharum,3.3,0.51851394,alive,3.80,0.579783597
180,Acer saccharum,3.3,0.51851394,alive,4.00,0.602059991
820,Acer saccharum,3.3,0.51851394,alive,4.20,0.62324929
91,Acer saccharum,3.3,0.51851394,alive,5.10,0.707570176
471,Carya cordiformis,3.3,0.51851394,alive,4.80,0.681241237
1261,Fagus grandifolia,3.30,0.51851394,alive,3.30,0.51851394
1629,Fagus grandifolia,3.30,0.51851394,alive,3.90,0.591064607
1892,Fagus grandifolia,3.35,0.525044807,alive,3.50,0.544068044
1021,Acer saccharum,3.4,0.531478917,alive,3.40,0.531478917
319,Acer saccharum,3.4,0.531478917,alive,3.50,0.544068044
553,Acer saccharum,3.4,0.531478917,alive,3.50,0.544068044
1131,Acer saccharum,3.4,0.531478917,alive,3.60,0.556302501
1070,Acer saccharum,3.4,0.531478917,alive,3.70,0.568201724
435,Acer saccharum,3.4,0.531478917,alive,3.80,0.579783597
789,Acer saccharum,3.4,0.531478917,alive,3.80,0.579783597
1836,Acer saccharum,3.40,0.531478917,alive,3.80,0.579783597
658,Acer saccharum,3.4,0.531478917,alive,3.90,0.591064607
735,Acer saccharum,3.4,0.531478917,alive,3.90,0.591064607
876,Acer saccharum,3.4,0.531478917,alive,3.90,0.591064607
