Field Name,Weight
Hor,0.5125
Cla,0.1954
Hor,0.2309
Fla,0.1424
Fox,0.4261
Red,0.1121
Red,0.113
Fla,0.1011
Fox,0.7677
Cla,0.0762
Fox,0.1514
Fla,0.1066
Fla,0.0924
Red,0.0973
Fox,0.1628
Dead,0.7572
Hor,0.1148
Red,0.0677
Fla,0.0985
Cla,0.2514
Odi,0.0257
Tri,0.3557
Fox,0.6674
Cla,0.2514
Odi,0.0257
Tri,0.3557
Fox,0.6674
Cla,0.5078
Red,0.2094
Dead,0.1521
Cla,0.2812
Red,0.0174
Fox,0.9153
Red,0.1358
Fla,0.1945
Fox,0.2901
Fla,0.2278
Red,0.0308
Sti,0.2321
Fla,0.1886
Red,0.0963
Fla,0.0698
Fla,0.0459
Fox,0.2266
Fla,0.2187
Fla,0.0615
Fla,0.1323
Red,0.0291
Fox,0.0698
Fox,0.5758
Red,0.4303
Fox,0.1853
Fox,0.0655
Fox,0.1182
Fox,0.2243
Fla,0.0361
Fox,0.073
Fla,0.4187
Fox,0.4906
Hor,0.2113
Cla,0.4012
Fla,0.2529
Fla,0.0661
Cla,0.2597
Sti,0.1172
Fox,0.1962
Odi,0.118
Tin,0.0529
Hor,0.0627
Fox,0.1087
Fox,0.0324
Cla,0.5692
Agr,0.047
Fox,0.5311
Fla,0.1193
Dead,0.3622
Fox,0.3335
Fla,0.1118
Fox,0.2263
Fox,0.5747
Str,0.1762
Red,0.0831
Fox,0.4662
Fox,0.1531
Fox,0.8575
Fox,0.0549
Fla,0.0604
Hor,0.1514
Red,0.2204
Fla,0.0732
Fox,0.3072
Odi,0.1752
Cla,0.2353
Tri,0.1562
Tin,0.0269
Fla,0.2207
Fla,0.063
Odi,0.3581
Fox,0.2379
Fox,0.066
Fla,0.1701
Fox,0.2619
Fla,0.4188
Fox,0.3641
Fox,0.484
Fox,0.5481
Cla,0.2745
Bul,0.2606
Fox,0.9981
Odi,0.1114
Red,0.0522
Fla,0.0578
Fla,0.0717
Osm,0.0364
Red,0.0491
Hor,0.0911
Odi,0.0703
Dead,0.1412
Fox,0.2314
Red,0.0703
Fla,0.0301
Red,0.0888
Dead,0.1642
Fox,0.269
Red,0.0503
Osm,0.1012
Red,0.0853
Red,0.1592
Fox,0.1488
Fla,0.1404
Fox,0.1134
Fox,0.0234
Fox,0.0884
Tin,0.077
Red,0.0182
Fox,0.074
Fox,0.0459
Sti,0.1392
Fla,0.3002
Red,0.2454
Red,0.2205
Sti,0.1912
Cla,0.0384
Fla,0.0638
Fla,0.0885
Fox,0.3866
Fla,0.2088
Fla,0.2623
Fla,0.0686
Fox,0.109
Fox,0.1408
Bul,1.8288
Odi,0.9044
Odi,0.7389
Odi,0.5943
Odi,1.3462
Odi,0.9409
Bul,1.2426
Bul,1.4299
Odi,0.943
Odi,0.9721
Odi,0.6809
Odi,0.7295
Odi,0.6338
Odi,1.033
Odi,1.0402
Odi,1.029
Odi,1.1373
Odi,1.476
Odi,1.0784
Bone,0.7207
Odi,1.5751
Odi,1.7388
Odi,1.1649
Odi,1.1953
Odi,0.7607
Bul,2.239
Bone,0.8967
Odi,1.786
Odi,1.3985
Odi,0.926
Odi,1.2485
Odi,1.1767
Odi,1.4164
Odi,1.7349
Odi,0.8042
Odi,2.1547
Odi,0.4912
Odi,0.6998
Odi,2.1376
Odi,0.5522
Odi,1.0196
Odi,1.5889
Odi,1.4415
Odi,2.215
Odi,1.4446
Odi,1.5691
Odi,1.2249
Odi,1.214
Odi,0.9664
Odi,1.4981
Odi,1.1264
Odi,1.9257
Dead,2.8477
Agr,0.9637
Odi,1.8779
Bul,1.9041
Odi,1.0022
Blu,2.4333
Bul,2.3072
Hor,0.8599
