Field Name,Weight,,,,
Odi,0.5549,573,,,
Sti,0.658,574,,,
Fox,0.6424,575,,,
Fox,0.8224,576,,,
Sti,0.3155,577,,,
Fox,0.268,578,,,
Fox,0.0626,579,,,
Fox,0.1913,580,,,
Sti,0.5443,581,,,
odi,0.073,582,,,
Hor,0.9287,583,,,
Fox,0.4641,584,,,
Fox,0.2452,585,,,
Odi,0.2447,586,,,
Odi,0.8912,587,,,
Fox,0.7397,588,,,
Odi,0.5665,589,,,
Sti,0.4431,590,,,
Sti,0.8155,591,,,
Dead,0.336,592,,,
Odi,0.2837,593,,,
Sti,0.1888,594,,,
Fox,0.2126,595,,,
Hor,0.3195,596,,,
Tri,0.4022,597,,,
Red,0.3564,598,,,
Fox,0.3488,599,,,
Fox,0.2148,600,,,
Red,0.3053,601,,,
Odi,0.7043,602,,,
Fox,0.7256,603,,,
Dead,0.1697,604,,,
Fox,0.8879,605,,,
Fox,0.3281,606,,,
hor,0.5265,607,,,
Fox,0.2996,608,,,
Hor,0.7549,609,,,
Odi,0.6684,610,,,
Fox,0.3655,611,,,
Odi,0.382,612,,,
St5i,0.5399,613,,,
Fox,0.4826,614,,,
Odi,0.4951,615,,,
Fox,0.5198,616,,,
Fox,0.3778,617,,,
Fox,0.487,618,,,
Fox,0.4223,619,,,
Odi,0.5741,620,,,
Fox,0.5459,621,,,
Sti,0.3297,622,,,
Sti,0.9099,623,,,
Odi,0.1843,624,,,
Fox,0.1458,625,,,
Fox,0.9032,626,,,
Odi,0.9032,627,,,
Sti,0.1594,628,,,
Odi,0.4862,629,,,
Odi,0.1016,630,,,
Fox,0.2743,631,,,
Hor,0.3068,632,,,
Odi,0.5521,633,,,
Odi,0.0311,634,,,
Hor,0.8658,635,,,
Fox,0.2698,636,,,
Fox,0.5158,637,,,
Fox,0.3127,638,,,
Sti,0.3919,639,,,
Fox,0.7474,640,,,
Fox,0.4061,641,,,
Fox,0.3732,642,,,
Fox,0.7328,643,,,
Odi,0.8014,644,,,
Red,0.187,645,,,
Fox,0.4319,646,,,
Fox,0.8792,647,,,
Odi,1.0967,648,,,
Odi,0.0664,649,,,
Tri,0.3989,650,,,
Fox,0.4648,651,,,
