Field Name ,Weight,
Fla,0.0366,705
Fla,0.1229,704
Red,0.2098,703
NO,0.079,702
Fox,0.0935,701
Mon,0.0383,700
Red,0.0149,699
Tri,0.1523,698
Fla,0.2412,697
Agr,0.0053,696
Fla,0.041,695
Fla,0.0483,694
Fla,0.0396,693
Mon,0.0129,692
Fla,0.1804,691
Agr,0.0155,690
Fla,0.0968,689
Fla,0.0466,688
Fla,0.0416,687
Fla,0.0749,686
Red,0.2232,685
Mon,0.0145,684
Fla,0.1619,683
Fla,0.0997,682
Fla,0.0109,681
Mon,0.549,680
Fla,0.107,679
Fla,0.0901,678
Mon,0.0314,677
Fox,0.0273,676
Fla,0.2027,675
Fla,0.0377,674
Fla,0.2807,673
Fla,0.5764,672
Mon,0.251,671
Mon,0.1235,670
Agr,0.0193,669
Fla,0.1194,668
Mon,0.4475,667
Mon,0.2284,666
Fla,0.1025,665
Mon,0.0183,664
Fox,0.1617,663
Fla,0.0137,662
Mon,0.0062,661
Mon,0.0266,660
Mon,0.0229,659
Mon,0.0183,658
Mon,0.0161,657
Mon,0.0532,656
Mon,0.0146,655
Mon,0.0316,654
Mon,0.0099,653
Mon,0.0098,652
Mon,0.026,651
Mon,0.0239,650
Fla,0.0275,649
Fla,0.1974,648
Cla ,0.249,647
Fla,0.1024,646
Mon,0.0158,645
Tin,0.0838,644
Fla,0.0418,643
Red,0.1748,642
Fla,0.1081,641
Fla,0.2821,640
Fox,0.493,639
Mon,0.0182,638
Fla,0.0503,637
Agr,0.0171,636
Agr,0.0157,635
Mon,0.2676,634
Mon,0.3026,633
Red,0.1387,632
Mon,0.1298,631
Mon,0.3475,630
Fla,0.1357,629
Fla,0.0507,628
Tin,0.1098,627
Fla,0.2418,626
Fla,0.0447,625
Cla ,0.1752,624
Mon,0.0239,623
Mon,0.036,622
Red,0.2017,621
Agr,0.0078,620
Mon,0.0524,619
Mon,0.0083,618
Mon,0.0098,617
Mon,0.0226,616
Mon,0.006,615
Fla,0.1401,614
Mon,0.0087,613
Mon,0.0624,612
Mon,0.0142,611
Fla,0.0469,610
Red,0.4108,609
Mon,0.0165,608
Mon,0.0326,607
Fla,0.0587,606
Tri,0.0831,605
Fla,0.108,604
Fla,0.0107,603
Fla,0.0292,602
Fla,0.083,601
Mon,0.1089,600
Fox,0.1468,599
Fox,0.0689,598
Fox,0.0275,597
Mon,0.0588,596
Mon,0.0569,595
Mon,0.1258,594
Mon,0.1806,593
Cla ,0.0548,592
Mon,0.1455,591
Fla,0.1427,590
Fla,0.1803,589
Mon,0.086,588
Mon,0.1637,587
Fla,0.1066,586
Fox,0.1459,585
Fla,0.0825,584
Mon,0.1032,583
Fla,0.4411,582
Mon,0.3696,581
Fla,0.1995,580
Fla,0.2506,579
Fox,0.0096,578
Fla,0.4919,577
Red,0.3747,576
NO,0.0255,575
Fla,0.1657,574
Fla,0.1098,573
Mon,0.0662,572
Mon,0.4644,571
Mon,0.3247,570
Mon,0.0598,569
Tri,0.4884,568
Mon,0.7405,567
Fla,0.0676,566
Tri,0.6539,565
Mon,0.7619,564
Mon,0.4619,563
Fla,0.2723,562
Mon,0.1927,561
Cla ,0.2887,560
Fla,0.1304,559
Cla ,0.0482,558
Fla,0.1619,557
Tri,1.1185,556
Cla ,0.1452,555
Cla ,0.291,554
Cla ,0.0288,553
Cla ,0.0923,552
Fla,0.166,551
Fla,0.1439,550
Cla ,0.3589,549
