Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),"LAT.(N, deg.)","LON.(E, deg.)",Reference
Subtropical Cunninghamia lanceolata forest,Guizhou,16,34212.34568,0.2025,793.26,15.56666667,937.33,790,26.85,108.99,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,18,57610.50328,0.2285,807.17,16.74166667,970.76,380,27.03,109.43,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,16,24724.51791,0.2178,803.17,16.36666667,958.23,400,27.1,109.35,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,18,32365.35662,0.2748,760.27,14.375,901.45,1010,27.27,107.56,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangxi,55,249591.0419,0.1027,951.44,18.15833333,1079.24,400,27.3,114.6,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,19,20534.42465,0.4154,771.5,14.54166667,905.72,760,27.53,108.37,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,20,27202.9871,0.1473,814.73,14.20833333,902.98,715,27.82,108.6,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,20,31478.63248,0.117,857.2,14.325,895.04,560,28.13,108.92,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,32,36560.7172,0.1227,732.7,14.68333333,884.66,1427,28.13,106.56,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,20,30795.6778,0.1018,857.2,14.325,895.04,660,28.22,108.8,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,20,30586.08059,0.1638,839.44,15.05833333,907.21,712,28.25,108.45,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,22,38662.50557,0.2243,712.36,14.25,882.47,1167,28.35,105.87,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,17,34232.69094,0.1401,826.67,13.45833333,846.39,1060,28.47,107.54,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,18,30838.95853,0.1037,819.63,13.15,846.36,1200,28.65,107.18,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangxi,24,60997.02381,0.2016,1005.37,17.24166667,1083.72,220,28.75,115.72,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,20,35516.63748,0.1713,856.81,14.025,859.1,1100,28.87,107.92,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,21,30388.58049,0.3783,838.3,17.025,975.69,450,28.9,111.13,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hubei,24,87348.59675,0.1354,974.46,14.99166667,965.45,500,29.2,113.8,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hubei,22,20393.65452,0.1702,948.28,14.06666667,881.89,1910,29.6,109.1,Luo 1996
Subtropical Cunninghamia lanceolata forest,An'hui,50,38747.02381,0.336,1045.82,15.63333333,1020.57,450,29.8,117.7,Luo 1996
Subtropical Cunninghamia lanceolata forest,Sichuan,17,53102.24439,0.2005,1129.83,16.93333333,940.59,1200,29.92,103.37,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hubei,23,65089.92806,0.1668,932.58,15.33333333,915.25,600,30.2,109.4,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hubei,21,46950.83446,0.2217,831.55,15.04166667,1022.98,500,31,115.7,Luo 1996
Subtropical Cunninghamia lanceolata forest,An'hui,20,33738.88889,0.18,796.55,14.65833333,1016.05,400,31.3,116.3,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangsu,20,25320,0.3,638.77,15.91666667,1002.09,400,31.3,119.8,Luo 1996
Subtropical Cunninghamia lanceolata forest,An'hui,20,13833.33333,0.27,721.93,14.58333333,1023.25,400,31.6,115.8,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangsu,16,19373.17397,0.3765,621.78,15.75,1006.01,50,31.64,119.51,Luo 1996
Subtropical Cunninghamia lanceolata forest,Henan,23,28538.18182,0.275,551.61,15.73333333,1050.76,200,32.12,114.08,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,18,18895.34884,0.2408,973.35,22.25,1177,400,22.2,109.5,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangdong,21,29898.03922,0.255,1106.93,22.31666667,1238.64,200,22.9,114.7,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangdong,21,31976.19048,0.252,962.41,21.83333333,1161.44,400,23.12,111.88,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,20,36424.73118,0.186,984.1,19.725,1084.23,400,24.1,111.5,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,24,74020,0.15,780.29,19.30833333,1054.01,720,24.28,106.33,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangdong,16,24461.02819,0.3015,1071.25,20.05,1146.48,400,24.3,114.4,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,18,39201.38889,0.2304,780.29,19.30833333,1054.01,1373,24.4,106.31,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangxi,29,81669.29134,0.1905,1054.45,18.71666667,1107.37,600,24.7,114.5,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangxi,29,81669.29134,0.1905,1015.4,19.04166667,1117.98,600,24.8,114.4,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,23,48673.31671,0.2005,1069.6,17.35833333,1016.83,439,24.9,111.7,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,24,65823.17073,0.164,879.4,20.21666667,1068.78,400,25,109.2,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,29,51725.16359,0.1681,1049.84,17.66666667,1025.94,343,25,111.7,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangdong,25,66828.43472,0.1463,898.38,20.26666667,1131.72,500,25.1,113.3,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,22,31748.35061,0.2122,1034.09,18.30833333,1028.33,302,25.2,111.3,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,17,38851.30112,0.269,1058.13,17.1,1019.27,400,26.1,117.5,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,27,95118.07229,0.2075,1046.48,17.73333333,1047.6,400,26.5,118.1,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,24,86883.11688,0.2464,807.24,15.75,944.27,434,26.6,109.1,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,24,89932.22636,0.2951,871.41,16.65833333,972.32,450,26.7,109.6,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,18,35775.90481,0.2017,830.1,16.425,963.17,425,26.75,109.35,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,32,137460.8409,0.1213,1050.55,17.94166667,1056.76,403,26.8,118.3,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,38,180092.7972,0.2263,844.65,16.85833333,972.93,417,26.8,109.5,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,18,41960.21065,0.3418,1052.26,19.1,1087.07,210,26.8,117.92,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,31,104180.9422,0.1868,862.81,16.9,978.99,400,26.83,109.75,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,19,60086.2423,0.2435,1054.5,18.43333333,1071.95,400,27.1,118.6,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangxi,19,23071.17142,0.3611,1033.62,17,1036.39,400,27.7,114.6,Luo 1996
Subtropical Cunninghamia lanceolata forest,An'hui,23,36298.24561,0.228,819.47,14.15833333,1000.24,1050,31.3,116.2,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangsu,20,36984.98498,0.1665,572.79,15.05833333,1003.81,20,32.33,121.18,Luo 1996
Subtropical Cunninghamia lanceolata forest,Zhejiang,18,39253.01205,0.249,760.83,16.76666667,1009.14,50,30.48,120.5,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangdong,18,73653.58593,0.1478,962.24,20.9,1122.83,500,23.9,112.1,Luo 1996
