Taxon,dbh.06,dbh.11,mass.kg.06,mass.kg.11
Acer saccharum,2.8,3.4,1.638202469,2.627976493
Acer saccharum,13.3,16.1,72.70682176,115.7580077
Acer saccharum,9.9,12.2,35.43812102,58.92676453
Acer saccharum,8.3,,23.07360155,
Acer saccharum,11.3,14.3,48.8988948,86.73901353
Acer saccharum,2.3,3.3,1.014876964,2.443780127
Acer saccharum,6.4,6.6,12.25459009,13.20776534
Acer saccharum,10.5,11.7,40.89540261,53.21983465
Acer saccharum,4.2,4.7,4.395506422,5.779843804
Acer saccharum,4.4,4.8,4.922525804,6.083771812
Acer saccharum,11.8,13.9,54.3338749,80.9509823
Acer saccharum,6.5,7.2,12.72592001,16.32353667
Acer saccharum,2.7,2.8,1.499412652,1.638202469
Acer saccharum,5.2,5.2,7.392491526,7.392491526
Acer saccharum,7.4,8.1,17.4493538,21.74351384
Acer saccharum,18.7,20.1,166.6526926,198.6713941
Acer saccharum,4.6,4.6,5.485050244,5.485050244
Acer saccharum,7.3,7.5,16.88091575,18.02891635
Acer saccharum,8.2,9.1,22.40274192,28.86649492
Acer saccharum,4.6,4.9,5.485050244,6.396918156
Acer saccharum,3.9,,3.669990691,
Acer saccharum,3.2,3.6,2.267417914,3.020278865
Acer saccharum,2.1,4,0.813283017,3.903281985
Acer saccharum,11.8,14.5,54.3338749,89.72169867
Acer saccharum,2.2,3.7,0.910795311,3.228584318
Acer saccharum,14,14.3,82.3759357,86.73901353
Acer saccharum,1.5,,0.35853936,
Acer saccharum,12.3,16.6,60.10941738,124.7046375
Acer saccharum,6.5,9.8,12.72592001,34.57307511
Acer saccharum,3.7,3.9,3.228584318,3.669990691
Acer saccharum,3.9,4.7,3.669990691,5.779843804
Acer saccharum,4.5,5.2,5.199306229,7.392491526
Acer saccharum,8.9,9.1,27.34643076,28.86649492
Acer saccharum,4,4.3,3.903281985,4.654621925
Acer saccharum,4.8,5.1,6.083771812,7.051196522
Acer saccharum,24.4,27,318.4782745,407.4939554
Acer saccharum,6.3,9.6,11.79370504,32.88063012
Acer saccharum,4.1,4.4,4.145089959,4.922525804
Acer saccharum,16.8,18.9,128.3935922,171.0246932
Acer saccharum,4.8,5,6.083771812,6.719365742
Acer saccharum,3.6,3.9,3.020278865,3.669990691
Acer saccharum,3.2,3.3,2.267417914,2.443780127
Acer saccharum,4.8,4.9,6.083771812,6.396918156
Acer saccharum,3.5,3.7,2.820109229,3.228584318
Acer saccharum,7.2,7.4,16.32353667,17.4493538
Acer saccharum,5.7,6.1,9.243704847,10.90298415
Acer saccharum,2.2,3,0.910795311,1.93777815
Acer saccharum,6.4,7.4,12.25459009,17.4493538
Acer saccharum,7,7.2,15.24169074,16.32353667
Acer saccharum,5.3,6,7.74333089,10.47300401
Acer saccharum,2.2,2.9,0.910795311,1.784286965
Acer saccharum,9.6,10.8,32.88063012,43.79813339
Acer saccharum,1.4,1.6,0.303110067,0.419531291
Acer saccharum,32,33.9,616.2140177,709.1001898
Acer saccharum,2,2,0.722208693,0.722208693
Acer saccharum,1.9,2.2,0.637437357,0.910795311
Acer saccharum,2.1,2.4,0.813283017,1.125656027
Acer saccharum,4.3,4.9,4.654621925,6.396918156
Acer saccharum,14.7,14.9,92.7639755,95.86619955
Acer saccharum,13.6,14.2,76.76370133,85.26990599
Acer saccharum,3.4,3.9,2.627976493,3.669990691
Acer saccharum,4,4.7,3.903281985,5.779843804
Acer saccharum,25.9,28.6,368.255958,468.7936217
Acer saccharum,5,5.3,6.719365742,7.74333089
Acer saccharum,4.3,4.5,4.654621925,5.199306229
Acer saccharum,7.1,8.5,15.77715051,24.45046062
Acer saccharum,7.3,8.2,16.88091575,22.40274192
Acer saccharum,4.9,6.1,6.396918156,10.90298415
Acer saccharum,4.2,4.6,4.395506422,5.485050244
Acer saccharum,13,18.3,68.77908667,158.1080342
Acer saccharum,1.8,2.5,0.558830149,1.243257436
Acer saccharum,16.3,20.5,119.2895947,208.4331274
Acer saccharum,4.2,5.9,4.395506422,10.0531801
Acer saccharum,2.4,2.6,1.125656027,1.367803214
Acer saccharum,9.6,12.2,32.88063012,58.92676453
Acer saccharum,4.4,5.3,4.922525804,7.74333089
Acer saccharum,3.8,4.7,3.445122962,5.779843804
Acer saccharum,10.5,13.5,40.89540261,75.39698084
Acer saccharum,5.3,6,7.74333089,10.47300401
Acer saccharum,5.1,5.3,7.051196522,7.74333089
Acer saccharum,1.7,2.4,0.486244006,1.125656027
Acer saccharum,5.2,6.2,7.392491526,11.34319366
Acer saccharum,3.3,,2.443780127,
Acer saccharum,4.9,6.9,6.396918156,14.71709024
Acer saccharum,2,,0.722208693,
Acer saccharum,4,5.8,3.903281985,9.643438568
Acer saccharum,11.6,,52.11936714,
Acer saccharum,3.7,4.7,3.228584318,5.779843804
Acer saccharum,3.2,3.5,2.267417914,2.820109229
Acer saccharum,7.7,11.4,19.22167454,49.95894808
Acer saccharum,10,11.4,36.31579002,49.95894808
Acer saccharum,10,13,36.31579002,68.77908667
Acer saccharum,3.5,3.6,2.820109229,3.020278865
Acer saccharum,11.8,14.5,54.3338749,89.72169867
Acer saccharum,3.9,5,3.669990691,6.719365742
Acer saccharum,3.5,4.7,2.820109229,5.779843804
Acer saccharum,5.3,6.3,7.74333089,11.79370504
Acer saccharum,2.4,,1.125656027,
Acer saccharum,16.3,17.9,119.2895947,149.8270899
Acer saccharum,2.8,3.1,1.638202469,2.098785869
Acer saccharum,3.1,3.5,2.098785869,2.820109229
Acer saccharum,2,2.2,0.722208693,0.910795311
Acer saccharum,2.7,3.1,1.499412652,2.098785869
Acer saccharum,6.3,6.9,11.79370504,14.71709024
Acer saccharum,6.3,8.6,11.79370504,25.15658158
Acer saccharum,3.9,4.8,3.669990691,6.083771812
Acer saccharum,7.8,10.7,19.83499878,42.8175179
Acer saccharum,8.2,11.2,22.40274192,47.85221078
Acer saccharum,4.7,4.7,5.779843804,5.779843804
Acer saccharum,6.1,6.1,10.90298415,10.90298415
Acer saccharum,5.2,6.4,7.392491526,12.25459009
Acer saccharum,1.9,2.1,0.637437357,0.813283017
Acer saccharum,2.1,,0.813283017,
Acer saccharum,11.8,14.2,54.3338749,85.26990599
Acer saccharum,3.6,3.8,3.020278865,3.445122962
Acer saccharum,1.9,1.9,0.637437357,0.637437357
Acer saccharum,1.8,2.1,0.558830149,0.813283017
Acer saccharum,10.1,11,37.2061373,45.79874427
Acer saccharum,2.3,2.6,1.014876964,1.367803214
Acer saccharum,6,,10.47300401,
Acer saccharum,1.4,1.9,0.303110067,0.637437357
Acer saccharum,3.4,3.9,2.627976493,3.669990691
Acer saccharum,2,,0.722208693,
Acer saccharum,6.7,7.1,13.70019602,15.77715051
Acer saccharum,1.8,2.1,0.558830149,0.813283017
Acer saccharum,9.9,11.8,35.43812102,54.3338749
Acer saccharum,3.3,3.4,2.443780127,2.627976493
Acer saccharum,1.4,2.4,0.303110067,1.125656027
Acer saccharum,3.3,3.8,2.407884253,3.445122962
Acer saccharum,4.6,5,5.485050244,6.719365742
Acer saccharum,1.7,2,0.486244006,0.722208693
Acer saccharum,2.5,2.7,1.243257436,1.499412652
Acer saccharum,5.3,5.7,7.74333089,9.243704847
Acer saccharum,1.8,2.1,0.574065264,0.813283017
Acer saccharum,4.7,5.5,5.779843804,8.473958934
Acer saccharum,1.3,1.9,0.253079172,0.637437357
Acer saccharum,6.8,7.9,14.2032814,20.45970474
Acer saccharum,3.5,3.6,2.820109229,3.020278865
Acer saccharum,9.4,10.3,31.23800697,39.02508599
Acer saccharum,4.8,5.2,6.083771812,7.392491526
Acer saccharum,1.2,1.2,0.208275644,0.208275644
Acer saccharum,1.1,1.4,0.168520823,0.303110067
Acer saccharum,14.7,19,92.7639755,173.2357464
Acer saccharum,1.8,2.2,0.558830149,0.910795311
Acer saccharum,4.4,4.7,4.922525804,5.779843804
Acer saccharum,5.1,5.1,7.051196522,7.051196522
Acer saccharum,2.5,2.7,1.243257436,1.499412652
Acer saccharum,16.9,19.8,130.2618712,191.5304824
Acer saccharum,18,19.2,151.87274,177.7081506
Acer saccharum,11.6,12.1,52.11936714,57.75793328
Acer saccharum,2.8,3,1.638202469,1.93777815
Acer saccharum,1.5,2.4,0.35853936,1.125656027
Acer saccharum,2,2.1,0.722208693,0.813283017
Acer saccharum,5.9,5.9,10.0531801,10.0531801
Acer saccharum,6.7,7.5,13.70019602,18.02891635
Acer saccharum,5.4,5.9,8.103793884,10.0531801
Acer saccharum,2.7,2.9,1.499412652,1.784286965
Acer saccharum,1.5,1.7,0.35853936,0.486244006
Acer saccharum,2.2,2.5,0.910795311,1.243257436
Acer saccharum,1.2,1.6,0.208275644,0.419531291
Acer saccharum,16.4,19.2,121.0788789,177.7081506
Acer saccharum,4.3,5.1,4.654621925,7.051196522
Acer saccharum,4.2,4.8,4.395506422,6.083771812
Acer saccharum,4,4.8,3.903281985,6.083771812
Acer saccharum,3.4,3.8,2.627976493,3.445122962
Acer saccharum,3.3,3.8,2.443780127,3.445122962
Acer saccharum,4.5,4.7,5.199306229,5.779843804
Acer saccharum,10.6,11.8,41.84995868,54.3338749
Acer saccharum,3.6,3.6,3.020278865,3.020278865
Acer saccharum,17.3,18.3,137.8946194,158.1080342
Acer saccharum,2.6,3.2,1.367803214,2.267417914
Acer saccharum,24.6,27.9,324.8700939,441.3521514
Acer saccharum,18.2,19.4,156.0131727,182.2478725
Acer saccharum,2.6,3.5,1.367803214,2.820109229
Acer saccharum,1.5,2.5,0.35853936,1.243257436
Acer saccharum,5.7,6.5,9.243704847,12.72592001
Acer saccharum,2.4,2.5,1.125656027,1.243257436
Acer saccharum,7.9,8.8,20.45970474,26.60450708
Acer saccharum,4.6,5,5.485050244,6.719365742
Acer saccharum,5,5.4,6.719365742,8.103793884
Acer saccharum,2.2,2.5,0.910795311,1.243257436
Acer saccharum,4.6,5.1,5.485050244,7.051196522
Acer saccharum,5.4,6.4,8.103793884,12.25459009
Acer saccharum,1.7,2.6,0.486244006,1.367803214
Acer saccharum,7,7.6,15.24169074,18.61966841
Acer saccharum,4.8,5.1,6.083771812,7.051196522
Acer saccharum,4.8,5.7,6.083771812,9.243704847
