site,family,genus,species,height,biomass
CBT,Poaceae,Poa,pratensis,39.6,0.26
CBT,Poaceae,Poa,pratensis,32,0.771
CBT,Poaceae,Poa,pratensis,30.5,0.342
CBT,Poaceae,Poa,pratensis,23.7,0.402
CBT,Poaceae,Poa,pratensis,10,0.147
CBT,Poaceae,Poa,pratensis,20.6,0.154
CBT,Poaceae,Poa,pratensis,14,0.175
CBT,Poaceae,Poa,pratensis,12.8,0.183
CBT,Poaceae,Poa,pratensis,28.1,0.568
CBT,Poaceae,Poa,pratensis,24.9,0.341
CBT,Poaceae,Poa,pratensis,21.8,0.709
CBT,Poaceae,Poa,pratensis,15,0.174
CBT,Poaceae,Poa,pratensis,29.4,0.287
CBT,Poaceae,Poa,pratensis,29.8,0.601
CBT,Poaceae,Poa,pratensis,28.2,0.513
CBT,Poaceae,Poa,pratensis,22.4,0.321
CBT,Poaceae,Poa,pratensis,46,0.725
CBT,Poaceae,Poa,pratensis,12,0.078
CBT,Poaceae,Poa,pratensis,40,0.22
CBT,Poaceae,Poa,pratensis,31.1,1.209
CBT,Poaceae,Poa,pratensis,28.3,0.963
CBT,Poaceae,Poa,pratensis,30,0.746
CBT,Poaceae,Poa,pratensis,51.6,1.89
CBT,Poaceae,Poa,pratensis,31.4,0.978
CBT,Poaceae,Poa,pratensis,14.9,0.573
CBT,Poaceae,Poa,pratensis,25.8,0.84
CBT,Poaceae,Poa,pratensis,11.5,0.174
CBT,Poaceae,Poa,pratensis,21.6,0.769
CBT,Poaceae,Poa,pratensis,23.6,0.263
CBT,Poaceae,Poa,pratensis,43,2.697
CBT,Poaceae,Poa,pratensis,13.1,0.577
CBT,Poaceae,Poa,pratensis,28,0.094
CBT,Poaceae,Poa,pratensis,23.2,0.043
CBT,Poaceae,Poa,pratensis,24.7,0.039
CBT,Poaceae,Poa,pratensis,26,0.11
CBT,Poaceae,Poa,pratensis,29.8,0.087
CBT,Poaceae,Poa,pratensis,32.8,0.308
CBT,Poaceae,Poa,pratensis,43.5,0.235
CBT,Poaceae,Poa,pratensis,22.6,0.017
CBT,Poaceae,Poa,pratensis,28.5,0.047
CBT,Poaceae,Poa,pratensis,28.3,0.043
CBT,Poaceae,Poa,pratensis,30,0.083
CBT,Poaceae,Poa,pratensis,21,0.019
CBT,Poaceae,Poa,pratensis,31.3,0.218
CBT,Poaceae,Poa,pratensis,24.1,0.08
CBT,Poaceae,Poa,pratensis,26.4,0.141
CBT,Poaceae,Poa,pratensis,33.2,0.587
CBT,Poaceae,Poa,pratensis,30.9,0.034
CBT,Poaceae,Poa,pratensis,17.3,0.014
CBT,Poaceae,Poa,pratensis,4.8,0.003
CBT,Poaceae,Poa,pratensis,20.3,0.058
CBT,Poaceae,Poa,pratensis,26.7,0.608
CBT,Poaceae,Poa,pratensis,3.8,0.001
CBT,Poaceae,Poa,pratensis,21.6,0.032
CBT,Poaceae,Poa,pratensis,21.6,0.146
CBT,Poaceae,Poa,pratensis,25.8,0.177
CBT,Poaceae,Poa,pratensis,11.8,0.03
CBT,Poaceae,Poa,pratensis,18,0.066
CBT,Poaceae,Poa,pratensis,22.5,0.146
CBT,Poaceae,Poa,pratensis,19.2,0.052
CBT,Poaceae,Poa,pratensis,26,0.072
CBT,Poaceae,Poa,pratensis,16,0.025
CBT,Poaceae,Poa,pratensis,25.6,0.527
CBT,Poaceae,Poa,pratensis,17.9,0.578
CBT,Poaceae,Poa,pratensis,39,0.507
CBT,Poaceae,Poa,pratensis,28.9,0.59
CBT,Poaceae,Poa,pratensis,11.5,0.505
CBT,Poaceae,Poa,pratensis,16,0.304
CBT,Poaceae,Poa,pratensis,37.1,0.662
CBT,Poaceae,Poa,pratensis,47,0.432
CBT,Poaceae,Poa,pratensis,22,1.878
CBT,Poaceae,Poa,pratensis,11.6,0.101
